cid	character	initial	final	tone	note
1	多	t	o	31	
2	拖	th	o	31	
3	大	t	ᴀ	54	
4	锣	l	o	24	
5	左	ts	o	213	
6	歌	k	o	31	
7	个	k	o	54	
8	可	kh	o	213	
9	鹅	∅	o	24	
10	饿	∅	u	54	
11	河	x	o	24	
12	茄	tsh	uɪi	24	
13	破	ph	o	54	
14	婆	ph	o	24	
15	磨	mb	o	24	～刀
15	磨	mb	o	54	～豆浆
16	磨	mb	o	54	
17	躲	t	o	213	
18	螺	l	o	24	
19	坐	ts	o	54	
20	锁	s	o	213	
21	果	k	o	213	
22	过	k	o	54	
23	课	kh	o	54	
24	火	x	o	213	
25	货	x	o	54	
26	祸	x	o	54	
27	靴	ʃ	yi	31	
28	把	p	ᴀ	213	
29	爬	ph	ᴀ	24	
30	马	mb	ᴀ	213	
31	骂	mb	ᴀ	54	
32	茶	tsh	ᴀ	24	
33	沙	s	ᴀ	31	
34	假	tʃ	iᴀ	213	
35	嫁	tʃ	iᴀ	54	
36	牙	∅	iᴀ	24	
37	虾	ʃ	iᴀ	31	
38	下	x	ᴀ	54	
39	夏	ʃ	iᴀ	54	
40	哑	ŋɡ	ᴀ	213	
41	姐	tʃ	iᴀ	213	白
41	姐	tʃ	ji	213	白
41	姐	tʃ	ie	213	文
42	借	tʃ	iᴀ	54	
43	写	ʃ	ji	213	
44	斜	ʃ	i	24	
45	谢	ʃ	i	54	
46	车	tsh	ɪi	31	
47	蛇	s	ɪi	24	
48	射	s	ɪi	54	
49	爷	ʒ	i	24	
50	野	ʒ	ji	213	
51	夜	ʒ	ji	54	
52	瓜	k	uᴀ	31	
53	瓦	∅	uᴀ	213	
54	花	x	uᴀ	31	
55	化	x	uᴀ	54	
56	华	x	uᴀ	24	
57	谱	ph	u	213	
58	布	p	u	54	
59	铺	ph	u	54	
60	簿	p	u	54	
61	步	p	u	54	
62	赌	t	u	213	
63	土	th	u	213	
64	图	th	u	24	
65	杜	t	u	54	
66	奴	l	u	24	
67	路	l	u	54	
68	租	ts	u	31	
69	做	ts	o	54	
70	错	ts	o	54	
71	箍	kh	u	31	
72	古	k	u	213	
73	苦	kh	u	213	
74	裤	kh	u	54	
75	吴	∅	u	24	
76	五	∅	u	213	
77	虎	x	u	213	
78	壶	x	u	24	
79	户	x	u	54	
80	乌	∅	u	31	
81	女	nd	ʮ	213	
82	吕	∅	ʮ	213	
83	徐	tʃh	y	24	
84	猪	ts	u	31	
85	除	tʃh	y	24	
86	初	tsh	o	31	
87	锄	tsh	o	24	
88	所	s	o	213	
89	书	s	u	31	
90	鼠	tsh	u	213	
91	如	∅	ʮ	24	
92	举	tʃ	y	213	
93	锯	tʃ	y	54	
94	去	kh	ɪi	54	白
94	去	tʃh	y	54	文
95	渠	tʃh	y	24	
96	鱼	∅	ʮ	24	
97	许	ʃ	y	213	
98	余	∅	ʮ	24	
99	府	f	u	213	
100	付	f	u	54	
101	父	f	u	54	
102	武	∅	u	213	
103	雾	∅	u	54	
104	取	tʃh	y	213	
105	柱	ts	u	54	
106	住	ts	u	54	
107	数	s	u	213	
108	数	s	u	54	
109	主	ts	u	213	
110	输	∅	ʮ	31	白
110	输	ʃ	y	31	文
111	竖	s	u	54	
112	树	s	u	54	
113	句	tʃ	y	54	
114	区	tʃh	y	31	
115	遇	∅	ʮ	54	
116	雨	∅	ʮ	213	
117	芋	∅	ʮ	54	
118	裕	∅	ʮ	54	
119	胎	th	e	31	
120	台	th	e	24	
121	袋	t	e	54	
122	来	l	e	24	
123	菜	tsh	e	54	
124	财	tsh	e	24	
125	该	k	e	31	
126	改	k	e	213	
127	开	kh	e	31	
128	海	x	e	213	
129	爱	ŋɡ	e	54	
130	贝	p	e	54	
131	带	t	e	54	
132	盖	k	e	54	
133	害	x	e	54	
134	拜	p	e	54	
135	排	ph	e	24	
136	埋	mb	e	24	
137	戒	k	e	54	白
